"source" "brand" "typ posta" "średnia_reakcji" "średnia_ER"
"Facebook" "BasicLab" "Photo" 70.2934782608696 0.130173107890499
"Facebook" "BasicLab" "Text" 226.625 0.419675925925926
"Facebook" "BasicLab" "Video" 55.3292682926829 0.102461607949413
"Facebook" "HTC" "Photo" 15.3 0.19125
"Facebook" "HTC" "Video" 7 0.0875
"Facebook" "Kaya" "Photo" 37.7113402061856 0.0554578532443905
"Facebook" "Kaya" "Text" 14.5555555555556 0.0214052287581699
"Facebook" "Kaya" "Video" 7.25 0.0106617647058824
"Facebook" "Miyo" "Photo" 5.35714285714286 0.0130662020905923
"Facebook" "Tolpa" "Photo" 84.2976190476191 0.0520355673133451
"Facebook" "Tolpa" "Text" 9.25 0.00570987654320988
"Facebook" "Tolpa" "Video" 25.6666666666667 0.015843621399177
"Instagram" "BasicLab" "Photo" 488.168421052632 0.569624762021741
"Instagram" "BasicLab" "Video" 482.531914893617 0.563047741999553
"Instagram" "HTC" "Photo" 390.972222222222 0.972567716970702
"Instagram" "HTC" "Video" 339.317073170732 0.844072321320228
"Instagram" "Kaya" "Photo" 1553.49541284404 1.46556171023022
"Instagram" "Kaya" "Video" 4390.59615384615 4.14207184325109
"Instagram" "Miyo" "Photo" 437.275862068966 0.593318673092219
"Instagram" "Miyo" "Video" 554.753246753247 0.752718109570213
"Instagram" "Tolpa" "Photo" 430.922330097087 0.579976218165663
"Instagram" "Tolpa" "Video" 268.25 0.361036339165545
